id	type	modified	bibliographicCitation	references	datasetID	institutionCode	collectionCode	datasetName	basisOfRecord	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedOccurrences	eventID	parentEventID	samplingProtocol	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	locationID	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	georeferenceRemarks	identifiedBy	dateIdentified	identificationQualifier	typeStatus	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
DeepSea_Antipatharia_25		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_25	DeepSea_Antipatharia_25							present								1974				1974									BIOGAS IV, CP 02, St. 1				2177	2177	47.55	-8.68	EPSG:4326								urn:lsid:marinespecies.org:taxname:103304	Bathypathes sp.										
DeepSea_Antipatharia_26		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_26	DeepSea_Antipatharia_26							present								1974				1974									BIOGAS V, CP 07,St. 6				2170	2170	44.16	-4.26	EPSG:4326								urn:lsid:marinespecies.org:taxname:103304	Bathypathes sp.										
DeepSea_Antipatharia_28		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_28	DeepSea_Antipatharia_28							present								1886/1915													“Hirondelle”, St. 821				5440	5440	30.75	-25.33	EPSG:4326								urn:lsid:marinespecies.org:taxname:289303	Abyssopathes lyra										Brook, 1889
DeepSea_Antipatharia_29		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_29	DeepSea_Antipatharia_29							present								1886/1915													“Princesse-Alice”, St. 3223				5300	5300	30.83	-25.71	EPSG:4326								urn:lsid:marinespecies.org:taxname:289303	Abyssopathes lyra										Brook, 1889
DeepSea_Antipatharia_30		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_30	DeepSea_Antipatharia_30							present								1974				1974									BIOGAS V, CP 05, St. 4				3850	3850	46.48	-10.33	EPSG:4326								urn:lsid:marinespecies.org:taxname:289303	Abyssopathes lyra										Brook, 1889
DeepSea_Antipatharia_31		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_31	DeepSea_Antipatharia_31							present																					ABYPLAINE, CP 02				4490	4490	37.33	-15.63	EPSG:4326								urn:lsid:marinespecies.org:taxname:289303	Abyssopathes lyra										Brook, 1889
DeepSea_Antipatharia_1		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_1	DeepSea_Antipatharia_1							present								1886/1915													“Hirondelle”, St. 1116				2165	2165	31.72	-10.77	EPSG:4326								urn:lsid:marinespecies.org:taxname:103333	Stichopathes flagellum										Roule, 1902
DeepSea_Antipatharia_2		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_2	DeepSea_Antipatharia_2							present								1886/1915													“Hirondelle”, St. 1116				2165	2165	31.72	-10.77	EPSG:4326								urn:lsid:marinespecies.org:taxname:103330	Stichopathes abyssicola										Roule, 1902
DeepSea_Antipatharia_4		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_4	DeepSea_Antipatharia_4							present								1886/1915													“Princesse-Alice”, St. 2048				1968	1968	32.54	-17.03	EPSG:4326								urn:lsid:marinespecies.org:taxname:103331	Stichopathes dissimilis										Roule, 1902
DeepSea_Antipatharia_5		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_5	DeepSea_Antipatharia_5							present								1898/1899													“Valdivia”, St. 33				2500	2500	24.58	-17.07	EPSG:4326								urn:lsid:marinespecies.org:taxname:103312	Antipathes furcata										Gray, 1857
DeepSea_Antipatharia_40		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_40	DeepSea_Antipatharia_40							present								1987				1987									Seamount 1, CP102				2010	2100	35.08	-13.11	EPSG:4326								urn:lsid:marinespecies.org:taxname:291112	Stauropathes punctata										Roule, 1905
DeepSea_Antipatharia_19		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_19	DeepSea_Antipatharia_19							present								1987				1987									SEAMOUNT 1, CP 102				2010	2100	35.08	-13.11	EPSG:4326								urn:lsid:marinespecies.org:taxname:816001	Bathypathes robusta										Gravier, 1918
DeepSea_Antipatharia_3		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		HumanObservation			DeepSea_Antipatharia_3	DeepSea_Antipatharia_3							present								1987				1987									SEAMOUNT1, CP 30				1940	2075	36.73	-11.38	EPSG:4326								urn:lsid:marinespecies.org:taxname:103330	Stichopathes abyssicola										Roule, 1902
DeepSea_Antipatharia_20		2015-08-26 11:50:12	Molodtsova T.N. 2014. Deep-sea fauna of European seas: An annotated species check-list of benthic invertebrates living deeper than 2000 m in the seas bordering Europe. Antipatharia // Invertebrate Zoology. Vol.11. No.1: 3–7		IMIS:dasid:5077	P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences	Deep-sea Fauna of European Seas: Antipatharia		Occurrence			DeepSea_Antipatharia_20	DeepSea_Antipatharia_20	Specimens reported as Bathypathes patula in the Northern Atlantic belong to 2–3 undescribed species						present								1886/1915													“Hirondelle”, St. 1116				2165	2165	31.72	-10.77	EPSG:4326								urn:lsid:marinespecies.org:taxname:103304	Bathypathes sp.										
