id	type	modified	bibliographicCitation	references	datasetID	institutionCode	collectionCode	datasetName	basisOfRecord	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedOccurrences	eventID	parentEventID	samplingProtocol	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	locationID	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	footprintWKT	georeferenceRemarks	identifiedBy	dateIdentified	identificationQualifier	typeStatus	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1812		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1812	IBSS_Benthos_1935_1179							present							Ind/m²	1935-10-15				1935	10	15	531		Black Sea				Azov Sea				9	9.6	46.38	37.42	EPSG:4326								urn:lsid:marinespecies.org:taxname:489933	Gmelinopsis sp.										
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1813		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=20.5;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1813	IBSS_Benthos_1935_1153	Temperature was taken by grab during sampling						present							Ind/m²	1935-06-16				1935	6	16	66		Black Sea				Azov Sea				5	5.4	46.71	36.71	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1814		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1814	IBSS_Benthos_1935_1215							present							Ind/m²	1935-10-12				1935	10	12	505		Black Sea				Azov Sea				5	5.2	46.67	36.78	EPSG:4326								urn:lsid:marinespecies.org:taxname:452043	Brachynotus lucasi										(M. Edw.)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1815		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1815	IBSS_Benthos_1935_1286							present							Ind/m²	1935-10-03				1935	10	3	442		Black Sea				Azov Sea				8	8.5	46.25	37.78	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1816		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1816	IBSS_Benthos_1935_1329							present							Ind/m²	1935-10-18				1935	10	18	557		Black Sea				Azov Sea				6	6.6	46.58	36.33	EPSG:4326								urn:lsid:marinespecies.org:taxname:452043	Brachynotus lucasi										(M. Edw.)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1817		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1817	IBSS_Benthos_1935_1330							present							Ind/m²	1935-10-18				1935	10	18	557		Black Sea				Azov Sea				6	6.6	46.58	36.33	EPSG:4326								urn:lsid:marinespecies.org:taxname:106218	Balanus improvisus										Darw.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1818		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1818	IBSS_Benthos_1935_1331							present							Ind/m²	1935-10-18				1935	10	18	557		Black Sea				Azov Sea				6	6.6	46.58	36.33	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1819		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1819	IBSS_Benthos_1935_1216							present							Ind/m²	1935-10-12				1935	10	12	505		Black Sea				Azov Sea				5	5.2	46.67	36.78	EPSG:4326								urn:lsid:marinespecies.org:taxname:106218	Balanus improvisus										Darw.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1820		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1820	IBSS_Benthos_1935_1217							present							Ind/m²	1935-10-12				1935	10	12	505		Black Sea				Azov Sea				5	5.2	46.67	36.78	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1821		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1821	IBSS_Benthos_1935_1287							present							Ind/m²	1935-10-03				1935	10	3	442		Black Sea				Azov Sea				8	8.5	46.25	37.78	EPSG:4326								urn:lsid:marinespecies.org:taxname:130359	Nephtys hombergii										M. Edw
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1793		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1793	IBSS_Benthos_1935_810							present							Ind/m²	1935-10-04				1935	10	4	460		Black Sea				Azov Sea				9	9	46.8	37.34	EPSG:4326								urn:lsid:marinespecies.org:taxname:140127	Hydrobia ventrosa										(Montagu)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1794		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=15.2;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1794	IBSS_Benthos_1935_908	Temperature was taken by grab during sampling						present							Ind/m²	1935-10-13				1935	10	13	519		Black Sea				Azov Sea				6	6	46.72	37.56	EPSG:4326								urn:lsid:marinespecies.org:taxname:129798	Hypaniola kowalewskii										(Annenkova)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1795		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=15.2;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1795	IBSS_Benthos_1935_909	Temperature was taken by grab during sampling						present							Ind/m²	1935-10-13				1935	10	13	519		Black Sea				Azov Sea				6	6	46.72	37.56	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1796		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1796	IBSS_Benthos_1935_910							present							Ind/m²	1935-10-13				1935	10	13	520		Black Sea				Azov Sea				3	3	46.7	37.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1797		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=21;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1797	IBSS_Benthos_1935_959	Temperature was taken by grab during sampling						present							Ind/m²	1935-06-23				1935	6	23	128		Black Sea				Azov Sea				10	10.5	46.38	36.07	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_713		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=18.8;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_713	IBSS_Benthos_1935_1723	Temperature was taken by grab during sampling						present							Ind/m²	1935-06-07				1935	6	7	20		Black Sea				Azov Sea				8	8.1	45.87	37.76	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1557		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1557	IBSS_Benthos_1935_881							present							Ind/m²	1935-10-10				1935	10	10	500		Black Sea				Azov Sea				7	7.5	46.79	36.91	EPSG:4326								urn:lsid:marinespecies.org:taxname:130769	Harmothoe imbricata										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1558		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1558	IBSS_Benthos_1935_882							present							Ind/m²	1935-10-10				1935	10	10	500		Black Sea				Azov Sea				7	7.5	46.79	36.91	EPSG:4326								urn:lsid:marinespecies.org:taxname:102048	Microdeutopus gryllotalpa										A. Costa
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1565		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1565	IBSS_Benthos_1935_682							present							Ind/m²	1935-06-22				1935	6	22	115		Black Sea				Azov Sea				3	3.3	46.53	36.4	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1605		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1605	IBSS_Benthos_1935_733							present							Ind/m²	1935-06-16				1935	6	16	67c		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:1078	Ostracoda sp.										
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1561		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1561	IBSS_Benthos_1935_664							present							Ind/m²	1935-08-05				1935	8	5	260/8		Black Sea				Azov Sea				10	10.7	46.54	36.75	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1562		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1562	IBSS_Benthos_1935_666							present							Ind/m²	1935-08-05				1935	8	5	260/8		Black Sea				Azov Sea				10	10.7	46.54	36.75	EPSG:4326								urn:lsid:marinespecies.org:taxname:742654	Syndesmya ovata										(Philippi)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1563		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=21.2;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1563	IBSS_Benthos_1935_680	Temperature was taken by grab during sampling						present							Ind/m²	1935-06-22				1935	6	22	114		Black Sea				Azov Sea				9	9.3	46.5	36.23	EPSG:4326								urn:lsid:marinespecies.org:taxname:742654	Syndesmya ovata										(Philippi)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1564		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation		Temperature=21.2;	IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1564	IBSS_Benthos_1935_681	Temperature was taken by grab during sampling						present							Ind/m²	1935-06-22				1935	6	22	114		Black Sea				Azov Sea				9	9.3	46.5	36.23	EPSG:4326								urn:lsid:marinespecies.org:taxname:140127	Hydrobia ventrosa										(Montagu)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1559		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1559	IBSS_Benthos_1935_883							present							Ind/m²	1935-10-10				1935	10	10	500		Black Sea				Azov Sea				7	7.5	46.79	36.91	EPSG:4326								urn:lsid:marinespecies.org:taxname:106218	Balanus improvisus										Darw.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1560		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1560	IBSS_Benthos_1935_663							present							Ind/m²	1935-08-05				1935	8	5	259/7		Black Sea				Azov Sea				12	12	46.45	36.75	EPSG:4326								urn:lsid:marinespecies.org:taxname:140127	Hydrobia ventrosa										(Montagu)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1606		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1606	IBSS_Benthos_1935_734							present							Ind/m²	1935-06-16				1935	6	16	67c		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:742654	Syndesmya ovata										(Philippi)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1607		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1607	IBSS_Benthos_1935_735							present							Ind/m²	1935-06-16				1935	6	16	67c		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1608		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1608	IBSS_Benthos_1935_736							present							Ind/m²	1935-06-16				1935	6	16	67c		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:140127	Hydrobia ventrosa										Montagu
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1609		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1609	IBSS_Benthos_1935_737							present							Ind/m²	1935-06-16				1935	6	16	67e		Black Sea				Azov Sea				1	1	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:742971	Pontogammarus maeoticus										Sow.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1610		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1610	IBSS_Benthos_1935_738							present							Ind/m²	1935-06-16				1935	6	16	67d		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1553		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1553	IBSS_Benthos_1935_877							present							Ind/m²	1935-10-10				1935	10	10	499		Black Sea				Azov Sea				10	10.2	46.75	37.03	EPSG:4326								urn:lsid:marinespecies.org:taxname:106218	Balanus improvisus										Darw.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1611		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1611	IBSS_Benthos_1935_740							present							Ind/m²	1935-06-16				1935	6	16	67d		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:234073	Dikerogammarus haemobaphes										(Eichw.)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1612		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1612	IBSS_Benthos_1935_741							present							Ind/m²	1935-06-16				1935	6	16	67d		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:161498	Macropsis slabberi										Gols.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1613		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1613	IBSS_Benthos_1935_742							present							Ind/m²	1935-06-16				1935	6	16	67d		Black Sea				Azov Sea				3	3	46.66	36.66	EPSG:4326								urn:lsid:marinespecies.org:taxname:742654	Syndesmya ovata										(Philippi)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1554		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1554	IBSS_Benthos_1935_878							present							Ind/m²	1935-10-10				1935	10	10	499		Black Sea				Azov Sea				10	10.2	46.75	37.03	EPSG:4326								urn:lsid:marinespecies.org:taxname:152921	Cardium edule										L.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1555		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1555	IBSS_Benthos_1935_879							present							Ind/m²	1935-10-10				1935	10	10	499		Black Sea				Azov Sea				10	10.2	46.75	37.03	EPSG:4326								urn:lsid:marinespecies.org:taxname:742654	Syndesmya ovata										(Philippi)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1556		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1556	IBSS_Benthos_1935_880							present							Ind/m²	1935-10-10				1935	10	10	500		Black Sea				Azov Sea				7	7.5	46.79	36.91	EPSG:4326								urn:lsid:marinespecies.org:taxname:155187	Nereis succinea										(Leuckart)
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1614		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1614	IBSS_Benthos_1935_743							present							Ind/m²	1935-06-17				1935	6	17	75		Black Sea				Azov Sea				2	2	46.68	36.83	EPSG:4326								urn:lsid:marinespecies.org:taxname:110594	Pterocuma pectinatum										Sow.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1615		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1615	IBSS_Benthos_1935_744							present							Ind/m²	1935-06-17				1935	6	17	75		Black Sea				Azov Sea				2	2	46.68	36.83	EPSG:4326								urn:lsid:marinespecies.org:taxname:742971	Pontogammarus maeoticus										Sow.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1616		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1616	IBSS_Benthos_1935_745							present							Ind/m²	1935-06-17				1935	6	17	75		Black Sea				Azov Sea				2	2	46.68	36.83	EPSG:4326								urn:lsid:marinespecies.org:taxname:120020	Gastrosaccus spinifer										Ben.
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1617		2017-08-04 12:04:57			IMIS:dasid:4376	IBSS	R/V N. Danilevskiy 1935 Azov Sea benthos data		HumanObservation			IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1617	IBSS_Benthos_1935_746							present							Ind/m²	1935-06-17				1935	6	17	75		Black Sea				Azov Sea				2	2	46.68	36.83	EPSG:4326								urn:lsid:marinespecies.org:taxname:118454	Idotea sp.										
