id	measurementID	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementValueID	measurementAccuracy	measurementUnit	measurementUnitID	measurementDeterminedDate	measurementDeterminedBy	measurementMethod	measurementRemarks
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1012		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1012	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	20			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1013		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1013	biomass		16.8			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1013		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1013	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	135			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1014		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1014	biomass		2629.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1014		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1014	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	40385			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015	biomass		2.15			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	10			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1015	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	21			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1016		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1016	biomass		6			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1016		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1016	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	500			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017	biomass		0.15			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	5			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1017	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	20.3			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1018		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1018	biomass		171.3			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1018		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1018	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	3125			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019	biomass		0.8			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	120			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1019	temperature	http://vocab.nerc.ac.uk/collection/P01/current/TEMPPR01/	18.5			celsius					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_102		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_102	biomass		241			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_102		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_102	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	400			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1020		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1020	biomass		0.3			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1020		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1020	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	160			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1021		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1021	biomass		341.9			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1021		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1021	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	9610			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1022		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1022	biomass		0.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1022		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1022	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	30			ind/m2					
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1023		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1023	biomass		5.1			g/m2	http://vocab.nerc.ac.uk/collection/P06/current/UGMS/				
IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1023		IBSS_R/V N. Danilevskiy 1935 Azov Sea benthos data_1023	individualcount	http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL02/	270			ind/m2					
